Feed_date,Total_Revenue,Previous_Revenue,Revenue_Change
2019-05-01,803075.9599999994,NULL,803075.9599999994
2019-05-02,748069.1499999996,803075.9599999994,-55006.80999999982
2019-05-03,697811.6299999998,748069.1499999996,-50257.519999999786
2019-05-04,399447.0100000001,697811.6299999998,-298364.61999999965
2019-05-05,426373.5599999998,399447.0100000001,26926.549999999697
2019-05-06,778274.2799999993,426373.5599999998,351900.7199999995
2019-05-07,726194.9999999997,778274.2799999993,-52079.27999999968
2019-05-08,840666.4599999993,726194.9999999997,114471.45999999961
2019-05-09,766952.5699999995,840666.4599999993,-73713.88999999978
2019-05-10,700973.6099999995,766952.5699999995,-65978.95999999996
2019-05-11,381390.6099999997,700973.6099999995,-319582.9999999998
2019-05-12,362518.4099999998,381390.6099999997,-18872.199999999895
2019-05-13,707322.1799999995,362518.4099999998,344803.76999999967
2019-05-14,723901.5599999998,707322.1799999995,16579.380000000354
2019-05-15,739669.86,723901.5599999998,15768.300000000163
2019-05-16,747787.9099999993,739669.86,8118.049999999348
2019-05-17,675010.3199999998,747787.9099999993,-72777.5899999995
2019-05-18,385472.69999999995,675010.3199999998,-289537.6199999999
2019-05-19,380433.52,385472.69999999995,-5039.179999999935
2019-05-20,748380.1799999996,380433.52,367946.65999999957
2019-05-21,921761.8899999994,748380.1799999996,173381.70999999985
2019-05-22,769633.5399999996,921761.8899999994,-152128.34999999986
2019-05-23,701177.0499999996,769633.5399999996,-68456.48999999999
2019-05-24,639546.4899999995,701177.0499999996,-61630.560000000056
2019-05-25,371688.39999999985,639546.4899999995,-267858.0899999997
2019-05-26,370690.97999999986,371688.39999999985,-997.4199999999837
2019-05-27,457702.8199999999,370690.97999999986,87011.84000000003
2019-05-28,799422.8900000001,457702.8199999999,341720.07000000024
2019-05-29,809422.1700000002,799422.8900000001,9999.280000000028
2019-05-30,784593.6899999992,809422.1700000002,-24828.480000000913
2019-05-31,692212.4799999995,784593.6899999992,-92381.20999999973
2019-06-01,410927.3999999996,692212.4799999995,-281285.0799999999
2019-06-02,438755.2099999999,410927.3999999996,27827.81000000029
2019-06-03,779643.1699999996,438755.2099999999,340887.9599999997
2019-06-04,790723.6099999999,779643.1699999996,11080.440000000293
2019-06-05,811595.2999999993,790723.6099999999,20871.68999999948
2019-06-06,842509.3999999998,811595.2999999993,30914.100000000442
2019-06-07,757946.2499999995,842509.3999999998,-84563.15000000026
2019-06-08,440451.3799999996,757946.2499999995,-317494.86999999994
2019-06-09,476164.1499999996,440451.3799999996,35712.77000000002
2019-06-10,868375.1400000002,476164.1499999996,392210.99000000063
2019-06-11,862827.6999999995,868375.1400000002,-5547.440000000759
2019-06-12,849438.9899999996,862827.6999999995,-13388.709999999846
2019-06-13,833974.6399999994,849438.9899999996,-15464.35000000021
2019-06-14,752144.5099999997,833974.6399999994,-81830.12999999977
2019-06-15,445462.8599999997,752144.5099999997,-306681.64999999997
2019-06-16,449034.8099999997,445462.8599999997,3571.9500000000116
2019-06-17,826251.5099999993,449034.8099999997,377216.6999999996
2019-06-18,824408.1499999992,826251.5099999993,-1843.3600000001024
2019-06-19,820694.4399999996,824408.1499999992,-3713.7099999996135
2019-06-20,1586367.4499999986,820694.4399999996,765673.009999999
2019-06-21,719816.6299999998,1586367.4499999986,-866550.8199999988
2019-06-22,380271.8099999999,719816.6299999998,-339544.8199999999
2019-06-23,491534.45999999996,380271.8099999999,111262.65000000008
2019-06-24,836200.1299999998,491534.45999999996,344665.6699999998
2019-06-25,916170.3799999997,836200.1299999998,79970.24999999988
2019-06-26,926478.8200000002,916170.3799999997,10308.440000000526
2019-06-27,762055.2299999999,926478.8200000002,-164423.59000000032
2019-06-28,738154.1499999996,762055.2299999999,-23901.080000000307
2019-06-29,436320.93000000005,738154.1499999996,-301833.2199999995
2019-06-30,522547.50999999954,436320.93000000005,86226.57999999949
2019-07-01,841638.8699999991,522547.50999999954,319091.3599999995
2019-07-02,823637.9599999998,841638.8699999991,-18000.909999999218
2019-07-03,723778.3599999996,823637.9599999998,-99859.60000000021
2019-07-04,398073.2799999998,723778.3599999996,-325705.07999999984
2019-07-05,566451.1099999996,398073.2799999998,168377.82999999984
2019-07-06,405490.52999999997,566451.1099999996,-160960.57999999967
2019-07-07,423591.0299999999,405490.52999999997,18100.49999999994
2019-07-08,768579.2900000003,423591.0299999999,344988.26000000036
2019-07-09,796659.5399999997,768579.2900000003,28080.249999999418
2019-07-10,815876.6799999998,796659.5399999997,19217.14000000013
2019-07-11,775924.3999999997,815876.6799999998,-39952.280000000144
2019-07-12,752121.3899999994,775924.3999999997,-23803.010000000242
2019-07-13,380770.51000000007,752121.3899999994,-371350.87999999936
2019-07-14,391433.22000000003,380770.51000000007,10662.709999999963
2019-07-15,5158848.460000003,391433.22000000003,4767415.240000003
2019-07-16,3105996.6900000013,5158848.460000003,-2052851.7700000014
2019-07-17,787985.24,3105996.6900000013,-2318011.450000001
2019-07-18,740041.3000000002,787985.24,-47943.93999999983
2019-07-19,686770.96,740041.3000000002,-53270.3400000002
2019-07-20,390715.2,686770.96,-296055.75999999995
2019-07-21,427379.54000000004,390715.2,36664.340000000026
2019-07-22,832467.3799999999,427379.54000000004,405087.83999999985
2019-07-23,792563.3899999994,832467.3799999999,-39903.990000000456
2019-07-24,807501.8999999999,792563.3899999994,14938.510000000475
2019-07-25,822081.809999999,807501.8999999999,14579.909999999101
2019-07-26,1266935.309999999,822081.809999999,444853.4999999999
2019-07-27,518724.55999999953,1266935.309999999,-748210.7499999993
2019-07-28,417378.87,518724.55999999953,-101345.68999999954
2019-07-29,743749.5199999998,417378.87,326370.6499999998
2019-07-30,819828.0599999992,743749.5199999998,76078.53999999946
2019-07-31,843779.0299999992,819828.0599999992,23950.969999999972
